Genome	Specimen	env_broad_scale	env_local_scale	env_medium	isolation_source
MGYG000298092	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000299175	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298043	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298506	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298974	Oral_cavity	Human oral metagenome	Human oral cavity	Human oral cavity	human oral metagenome
MGYG000299080	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298749	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299109	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298328	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298160	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298038	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298732	Oral_plaque	NA	NA	NA	dental plaque
MGYG000298886	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299265	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298425	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298857	Oral_saliva	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298266	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298171	Oral_plaque	NA	NA	NA	dental plaque
MGYG000298393	Oral_saliva	human	oral cavity	saliva	human saliva metagenome
MGYG000298055	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298342	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298433	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298394	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000299273	Oral_cavity	Human oral metagenome	Human oral cavity	Human oral cavity	human oral metagenome
MGYG000298052	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298083	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000299164	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298919	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298965	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298213	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298917	Oral_saliva	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000299201	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298787	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298020	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298337	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298490	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298178	Oral_cavity	Human oral metagenome	Human oral cavity	Human oral cavity	human oral metagenome
MGYG000298751	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299111	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298899	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298675	Oral_cavity	Human oral metagenome	Human oral cavity	Human oral cavity	human oral metagenome
MGYG000298562	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298473	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298379	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298136	Oral_saliva	human-associated habitat	human oral cavity	saliva	Human saliva
MGYG000298221	Oral_cavity	Human oral metagenome	Human oral cavity	Human oral cavity	human oral metagenome
MGYG000298069	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298302	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298474	Oral_saliva	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298806	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298370	Oral_saliva	human-associated habitat	human oral cavity	saliva	Human saliva
MGYG000298067	Oral_saliva	human-associated habitat	human oral cavity	saliva	Human saliva
MGYG000298874	Oral_cavity	NA	NA	NA	tongue scraping
MGYG000299246	Oral_plaque	NA	NA	NA	dental plaque
MGYG000298808	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299075	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298144	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298377	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298716	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298401	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298138	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298559	Oral_saliva	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298972	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299057	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298617	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298039	Oral_plaque	NA	NA	NA	dental plaque
